X,Y_aproximado
8.170092,2.436421
8.180092,2.436503
8.190092,2.436584
8.200092,2.436665
8.210093,2.436744
8.220093,2.436824
8.230093,2.436902
8.240093,2.436980
8.250093,2.437058
8.260094,2.437135
8.270094,2.437211
8.280094,2.437287
8.290094,2.437362
8.300095,2.437436
8.310095,2.437510
8.320095,2.437584
8.330095,2.437657
8.340096,2.437729
8.350096,2.437801
8.360096,2.437872
8.370096,2.437943
8.380096,2.438013
8.390097,2.438082
8.400097,2.438151
8.410097,2.438220
8.420097,2.438288
8.430098,2.438355
8.440098,2.438422
8.450098,2.438489
8.460098,2.438555
8.470098,2.438620
8.480099,2.438685
8.490099,2.438749
8.500099,2.438813
8.510099,2.438877
8.520100,2.438940
8.530100,2.439002
8.540100,2.439064
8.550100,2.439126
8.560101,2.439187
8.570101,2.439247
8.580101,2.439307
8.590101,2.439367
8.600101,2.439426
8.610102,2.439485
8.620102,2.439543
8.630102,2.439601
8.640102,2.439658
8.650103,2.439715
8.660103,2.439772
8.670103,2.439828
8.680103,2.439883
8.690104,2.439939
8.700104,2.439994
8.710104,2.440048
8.720104,2.440102
8.730104,2.440156
8.740105,2.440209
8.750105,2.440261
8.760105,2.440314
8.770105,2.440366
8.780106,2.440417
8.790106,2.440468
8.800106,2.440519
8.810106,2.440569
8.820107,2.440619
8.830107,2.440669
8.840107,2.440718
8.850107,2.440767
8.860107,2.440815
8.870108,2.440863
8.880108,2.440911
8.890108,2.440958
8.900108,2.441005
8.910109,2.441051
8.920109,2.441097
8.930109,2.441143
8.940109,2.441189
8.950109,2.441234
8.960110,2.441279
8.970110,2.441323
8.980110,2.441367
8.990110,2.441411
9.000111,2.441454
9.010111,2.441497
9.020111,2.441540
9.030111,2.441582
9.040112,2.441624
9.050112,2.441666
9.060112,2.441708
9.070112,2.441749
9.080112,2.441789
9.090113,2.441830
9.100113,2.441870
9.110113,2.441910
9.120113,2.441949
9.130114,2.441988
9.140114,2.442027
9.150114,2.442066
9.160114,2.442104
9.170115,2.442142
9.180115,2.442180
9.190115,2.442217
9.200115,2.442255
9.210115,2.442291
9.220116,2.442328
9.230116,2.442364
9.240116,2.442400
9.250116,2.442436
9.260117,2.442471
9.270117,2.442506
9.280117,2.442541
9.290117,2.442575
9.300117,2.442610
9.310118,2.442644
9.320118,2.442678
9.330118,2.442711
9.340118,2.442744
9.350119,2.442777
9.360119,2.442810
9.370119,2.442842
9.380119,2.442875
9.390120,2.442907
9.400120,2.442938
9.410120,2.442970
9.420120,2.443001
9.430120,2.443032
9.440121,2.443063
9.450121,2.443093
9.460121,2.443124
9.470121,2.443154
9.480122,2.443183
9.490122,2.443213
9.500122,2.443242
9.510122,2.443271
9.520123,2.443300
9.530123,2.443329
9.540123,2.443357
9.550123,2.443385
9.560123,2.443413
9.570124,2.443441
9.580124,2.443468
9.590124,2.443496
9.600124,2.443523
9.610125,2.443550
9.620125,2.443576
9.630125,2.443603
9.640125,2.443629
9.650126,2.443655
9.660126,2.443681
9.670126,2.443706
9.680126,2.443732
9.690126,2.443757
9.700127,2.443782
9.710127,2.443807
9.720127,2.443831
9.730127,2.443856
9.740128,2.443880
9.750128,2.443904
9.760128,2.443928
9.770128,2.443952
9.780128,2.443975
9.790129,2.443998
9.800129,2.444021
9.810129,2.444044
9.820129,2.444067
9.830130,2.444090
9.840130,2.444112
9.850130,2.444134
9.860130,2.444156
9.870131,2.444178
9.880131,2.444200
9.890131,2.444221
9.900131,2.444242
9.910131,2.444264
9.920132,2.444285
9.930132,2.444305
9.940132,2.444326
9.950132,2.444347
9.960133,2.444367
9.970133,2.444387
9.980133,2.444407
9.990133,2.444427
10.000134,2.444447
